"","citrate_1","citrate_2","citrate_3","citrate_4","citrate_5","citrate_6","ferulic_acid_1","ferulic_acid_2","ferulic_acid_3","ferulic_acid_4","ferulic_acid_5","ferulic_acid_6","glucose_1","glucose_2","glucose_3","glucose_4","glucose_5","glucose_6","serine_1","serine_2","serine_3","serine_4","serine_5"
"PGD38831012",4.78548937333829,4.95935409377141,4.70744125848399,5.1041708485445,5.00193357245267,5.25077708584004,4.9562822064218,5.28915503251894,5.52217732424889,5.35473075535816,5.05855184921857,4.96023226340292,5.45444781802406,5.18329074134094,5.49352856074538,5.10795893996955,4.98009136635996,5.1399104418387,5.18244500209892,5.34643420801991,5.27583282459431,5.15499102403105,4.85728595751022
"PGD38831018",9.69612062926701,9.7294750546622,9.55692048626314,9.52925006658887,9.92909099702727,9.92547881757279,10.043392310644,10.0547046426382,10.098301012933,10.441065798579,10.1529961414767,10.192323749862,10.4598762665571,10.428360711376,10.1825556661849,10.1638716189405,9.83327418401835,9.85174586883976,9.91086489756675,9.92159915583095,9.97790882438566,10.1699733073968,10.1181489049962
"PGD38831020",3.82907208576218,3.99935015270817,5.1893113384027,4.43974843168228,4.12616551978158,4.17828257116253,4.56141057727207,5.12917556139313,4.91925414832249,4.7651393678934,4.25716890503238,4.5454770893378,4.42108938151526,5.1359345091736,4.74814828537079,5.01591881762111,4.96409646563864,5.6030898123261,4.22904417735564,4.4801996659289,4.66835359471843,3.851216563397,4.7608582210652
"PGD38831022",4.59275690745949,4.4119276223464,4.3038591891779,4.10836745627524,4.19811833752843,4.54550909705003,5.00373572100848,4.83781861455713,4.5718073214399,5.21769522441602,4.30024737136576,4.80213660660569,4.74316346154024,4.89714849115544,4.52331423379163,4.67668568265795,4.67292111322478,4.61802909727068,4.79717552020816,5.30828353305646,5.31995455968516,5.05416316929787,5.34533551173751
"PGD38831026",7.58880281276214,7.53171843356799,8.14805593719069,7.74043987635085,7.54606634571513,7.52342879413847,7.44561452997974,7.52617085001354,7.69779205375698,7.7056676519127,7.60743198016861,7.57155382069002,7.7862737900846,7.70123067218396,7.54451388935146,7.56430450130499,7.69485040607424,7.69496798414508,8.03852229155665,7.94045736482299,7.88083110526521,7.77746910853106,7.7736842964816
"PGD38831030",7.4981296847559,7.44887088395832,7.5467727119323,7.65587434940787,7.38170790907557,7.36525248378381,7.76743809378225,7.74930475562062,7.87486852392079,7.77535472295297,7.7395944247904,7.73534650033516,8.02697884520546,7.86418939407543,7.88666853746942,7.83333514325242,7.95807264800276,7.83561965413846,7.83177929267709,7.68712884215898,7.72344079421405,7.63935006146609,7.84565347109752
"PGD38831034",6.7382102095271,6.71557194471265,10.3154985469376,6.64395081405673,6.56378101374288,6.7214189811615,6.11062298159619,6.30289643917109,5.98191951796009,6.20760547794276,5.65146121961016,5.78659298923869,6.74083389310269,6.69831073575774,6.20618298512688,6.95857117147032,6.68689713702843,6.86287619653549,5.58937109470381,5.78349816720113,5.49288607306621,5.67987768876763,6.07374818830545
"PGD38831038",6.84898905412066,6.79918024773674,6.92959425147397,7.1047576878953,7.06264746922704,8.90783802455744,6.5532517904856,6.66278372720035,6.60311357743584,6.7593240681378,6.81851805258341,7.10087142374085,6.85075278843085,7.18227413934979,6.87608305479323,6.77666265626807,7.09951524977244,6.9986988541737,6.66547552718201,6.7227418285669,6.88899410780221,6.82422044349557,6.80184628564011
"PGD38831040",6.58498806577414,6.48166822842668,6.63387757276783,6.57444998220244,6.04196920624158,6.33985276456812,6.20777653646599,6.43402446514447,6.27293181498799,6.68305086646278,6.25497751202682,6.375648503416,6.10564913508982,5.82222556761936,6.24596410617086,5.86647315207975,6.08575636935686,5.89894242975035,6.82261755653006,6.82820720062867,6.87162434554916,6.87745187009388,7.03712758568128
"PGD38831042",4.43212399034571,4.38914625127599,4.98515622235211,3.83716430604816,4.34423284497385,4.76038496726202,4.41812179106854,4.47528695316401,4.51055851509671,3.98904556475685,4.14392516534995,4.38916842374315,4.84314477290239,4.31570722025987,4.87461437540998,4.30563174171189,4.27398873556652,4.71495982376362,4.77731415753882,4.90171350866444,4.77603168710196,4.36890592633471,4.63137727694963
"PGD38831044",9.29378376999053,11.1506121558823,9.35092614403944,9.38742971080314,9.13939151255165,9.55659923571845,9.09876091621184,8.73319796817366,8.75504769050089,9.86020501263138,8.806700927199,8.83575304758926,9.06936297599813,9.16144421214147,8.62036699887241,8.42248228624812,8.4622285191686,8.64561924503649,9.04075236940859,9.39641797878853,10.9866559886797,9.05227075108434,9.04415749888026
